src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,11,0,2,0,0,50.0
1,23,0,2,0,0,50.0
2,71,0,2,0,0,50.0
4,90,0,2,0,0,50.0
5,24,0,2,0,0,50.0
6,3,0,2,0,0,50.0
7,36,0,2,0,0,50.0
8,43,0,2,0,0,50.0
12,9,0,2,0,0,50.0
13,37,0,2,0,0,50.0
14,99,0,2,0,0,50.0
15,47,0,2,0,0,50.0
16,78,0,2,0,0,50.0
17,29,0,2,0,0,50.0
18,21,0,2,0,0,50.0
19,51,0,2,0,0,50.0
20,73,0,2,0,0,50.0
22,45,0,2,0,0,50.0
25,39,0,2,0,0,50.0
26,31,0,2,0,0,50.0
27,68,0,2,0,0,50.0
30,33,0,2,0,0,50.0
32,62,0,2,0,0,50.0
34,48,0,2,0,0,50.0
35,10,0,2,0,0,50.0
41,40,0,2,0,0,50.0
42,86,0,2,0,0,50.0
44,56,0,2,0,0,50.0
49,79,0,2,0,0,50.0
50,74,0,2,0,0,50.0
52,69,0,2,0,0,50.0
53,95,0,2,0,0,50.0
54,28,0,2,0,0,50.0
55,98,0,2,0,0,50.0
57,83,0,2,0,0,50.0
58,91,0,2,0,0,50.0
59,72,0,2,0,0,50.0
67,46,0,2,0,0,50.0
80,82,0,2,0,0,50.0
93,76,0,2,0,0,50.0
96,89,0,2,0,0,50.0
97,92,0,2,0,0,50.0
60,70,0,3,0,0,100.0
61,81,0,3,0,0,100.0
66,94,0,3,0,0,100.0
77,75,0,3,0,0,100.0
84,63,0,7,0,0,400.0
0,18,2,2,0,0,50.0
1,74,2,2,0,0,50.0
4,36,2,2,0,0,50.0
5,42,2,2,0,0,50.0
6,28,2,2,0,0,50.0
7,65,2,2,0,0,50.0
10,90,2,2,0,0,50.0
11,50,2,2,0,0,50.0
12,49,2,2,0,0,50.0
13,61,3,2,0,0,50.0
15,33,2,2,0,0,50.0
16,71,2,2,0,0,50.0
17,51,2,2,0,0,50.0
19,8,2,2,0,0,50.0
20,80,2,2,0,0,50.0
21,32,2,2,0,0,50.0
23,37,2,2,0,0,50.0
24,25,2,2,0,0,50.0
26,53,2,2,0,0,50.0
27,2,2,2,0,0,50.0
29,79,2,2,0,0,50.0
30,81,3,2,0,0,50.0
31,98,2,2,0,0,50.0
34,22,2,2,0,0,50.0
35,68,2,2,0,0,50.0
41,45,2,2,0,0,50.0
44,70,3,2,0,0,50.0
